mode,SOC_heat_pct,SOC_gas_pct,Q_HTV_MWh,P_HPT_MPa,W_MW,Q_MW,feasible,W_max_feasible,Q_max_feasible,beta1,beta2,alpha1,alpha2,eta_elec_pct,eta_heat_pct
0,0.0,0.0,0.00,0.120,0.00,0.00,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,1.34,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,2.68,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,4.02,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,5.35,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,6.69,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,8.03,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,9.37,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,10.71,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,0.00,12.05,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,0.00,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,1.34,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,2.68,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,4.02,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,5.35,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,6.69,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,8.03,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,9.37,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,10.71,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,1.00,12.05,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,0.00,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,1.34,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,2.68,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,4.02,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,5.35,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,6.69,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,8.03,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,9.37,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,10.71,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,2.00,12.05,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,0.00,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,1.34,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,2.68,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,4.02,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,5.35,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,6.69,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,8.03,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,9.37,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,10.71,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,3.00,12.05,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,4.00,0.00,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,4.00,1.34,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,4.00,2.68,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,4.00,4.02,1,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,4.00,5.35,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
0,0.0,0.0,0.00,0.120,4.00,6.69,0,10.00,0.00,1.205,2.307,2.762,4.191,66.7,21.4
